numero,nom
1,"Gardien de but"
2,"Defenseur central"
3,"Arriere droit"
4,"Arriere gauche"
5,"Defenseur lateral"
6,"Milieu defensif"
7,"Milieu central"
8,"Milieu offensif"
9,"Milieu lateral"
10,"Ailier Droit"
11,"Ailier Gauche"
12,Avant-centre
13,"Attaquant de soutien"
14,Buteur
15,"Attaquant lateral"
